DY,HR,temperature_2m,wind_speed_10m,wind_direction_10m,shortwave_radiation,surface_pressure,temperature_2m_std,wind_speed_10m_std,shortwave_radiation_std,surface_pressure_std,total_distance_m,lat,lon
25,10,27.53333333,12.68333333,154.8333333,589.5,1011.433333,2.086783809,7.216485756,109.2552058,1.560341843,0,-12.4660184,130.8427841
25,11,29.23333333,13.86666667,161.3333333,712.5,1010.75,2.073322615,5.570158585,183.6875064,1.405346932,0,-12.4660184,130.8427841
25,12,30.48333333,14.95,159.1666667,802,1009.733333,2.066317175,5.95172244,219.0187207,1.332166156,0,-12.4660184,130.8427841
25,13,30.98333333,16.23333333,138.8333333,894.1666667,1008.583333,1.682161308,4.65560594,68.7907455,1.260819839,0,-12.4660184,130.8427841
25,14,30.9,13.61666667,191.8333333,864.6666667,1007.6,2.049390153,8.113301835,26.97158999,1.179830496,0,-12.4660184,130.8427841
25,15,30.5,10.83333333,290.5,733.1666667,1006.983333,1.418449858,5.623759122,38.44693312,1.038107252,0,-12.4660184,130.8427841
25,16,28.98333333,15.66666667,281,545,1006.683333,1.481103192,3.203539709,35.56964998,0.899814796,0,-12.4660184,130.8427841
25,17,28.11666667,14.91666667,281.1666667,322.3333333,1006.816667,1.763424698,3.361795155,28.55637699,0.897589364,0,-12.4660184,130.8427841
25,18,27.4,11.31666667,277.6666667,104.6666667,1007.016667,1.457394936,2.642284365,6.531972647,0.992807467,0,-12.4660184,130.8427841
26,7,23.2,11.73333333,131.8333333,18.5,1010.2,1.493987952,6.304812976,0.836660027,1.359411637,0,-12.4660184,130.8427841
26,8,24.23333333,12.43333333,137.5,189.1666667,1010.666667,1.713086882,6.7954887,6.735478206,1.502886112,0,-12.4660184,130.8427841
26,9,26.01666667,10.5,136.5,424.3333333,1010.766667,1.419037232,5.278257288,8.914407814,1.429218901,0,-12.4660184,130.8427841
26,10,28.28333333,10.76666667,116.1666667,631.5,1010.783333,1.142657721,5.915967095,19.76613265,1.416215614,0,-12.4660184,130.8427841
26,11,30.05,11.43333333,182.3333333,792.1666667,1010.033333,1.06723943,7.666724637,28.44937023,1.369184672,0,-12.4660184,130.8427841
26,12,30.88333333,12.23333333,172.6666667,897.6666667,1009.066667,0.960034722,6.915393457,13.42634227,1.251665557,0,-12.4660184,130.8427841
26,13,30.95,14.81666667,253.3333333,920.8333333,1007.966667,1.524139101,6.521170652,15.45854672,1.046263192,0,-12.4660184,130.8427841
26,14,29.66666667,19.71666667,177.6666667,865.5,1006.766667,2.088699755,6.717266309,16.59819267,0.904802004,0,-12.4660184,130.8427841
26,15,28.58333333,20.38333333,222,739.6666667,1006.083333,1.468899815,2.802439414,16.54891739,0.919601363,0,-12.4660184,130.8427841
26,16,28.6,19.43333333,167,554.3333333,1005.883333,1.264911064,3.289782161,15.40995349,0.923940835,0,-12.4660184,130.8427841
26,17,28.53333333,17.11666667,172.3333333,332.1666667,1006,0.995322393,1.851935924,7.626707459,0.965401471,0,-12.4660184,130.8427841
26,18,27.8,12.93333333,171.5,106.1666667,1006.366667,0.878635305,1.484138358,3.060501048,1.072691319,0,-12.4660184,130.8427841
27,7,23.93333333,9.366666667,95.16666667,18.83333333,1009.483333,1.402378931,6.672530754,0.40824829,1.238412963,0,-12.4660184,130.8427841
27,8,25.11666667,11.93333333,107.8333333,189.6666667,1010.033333,0.921773653,6.865760458,4.320493799,1.237201142,0,-12.4660184,130.8427841
27,9,26.71666667,11.35,94.16666667,425.1666667,1010.366667,0.783368794,6.80727552,4.070217029,1.107549848,0,-12.4660184,130.8427841
27,10,28.8,12.4,129.8333333,631.1666667,1010.433333,0.944457516,8.344099712,6.369196705,1.196104789,0,-12.4660184,130.8427841
27,11,30.3,13.26666667,171.8333333,788.1666667,1009.65,1.060188662,9.547914257,23.4300377,1.094988584,0,-12.4660184,130.8427841
27,12,31.4,14.46666667,158.6666667,883,1008.55,1.375499909,7.205183319,25.95380512,0.989444288,0,-12.4660184,130.8427841
27,13,31.58333333,14.98333333,207.3333333,908,1007.466667,1.797127337,6.553294337,27.89265136,0.752772653,0,-12.4660184,130.8427841
27,14,31.11666667,18.08333333,188.1666667,854.5,1006.383333,2.242691835,6.138539457,33.41107601,0.661563804,0,-12.4660184,130.8427841
27,15,30.25,20.51666667,117.8333333,721.1666667,1005.633333,2.040343108,5.86938384,58.03246218,0.763326055,0,-12.4660184,130.8427841
27,16,29.85,19.41666667,116,550.8333333,1005.283333,1.16747591,4.051871995,20.99920633,0.915241316,0,-12.4660184,130.8427841
27,17,29.35,15.98333333,109.8333333,326.3333333,1005.583333,0.692098259,4.567457352,14.8144074,0.902034737,0,-12.4660184,130.8427841
27,18,28.25,14.5,101.6666667,106.3333333,1005.983333,0.492950302,2.300434742,1.966384161,0.910860399,0,-12.4660184,130.8427841
28,7,24.3,7.633333333,150.6666667,19.66666667,1009.466667,0.756306816,6.615638039,0.816496581,1.329160136,0,-12.4660184,130.8427841
28,8,25.21666667,9.7,146.3333333,186.5,1010.083333,0.752108148,6.07519547,11.5195486,1.455220487,0,-12.4660184,130.8427841
28,9,26.65,9.75,129.3333333,407.1666667,1010.433333,0.418330013,6.717365555,29.77526938,1.26912043,0,-12.4660184,130.8427841
28,10,28.7,11.08333333,145,629,1010.4,0.328633535,8.817123492,25.04396135,1.166190379,0,-12.4660184,130.8427841
28,11,30.26666667,12.31666667,134.6666667,794.8333333,1009.65,0.608824003,8.70802312,17.15128761,1.111305539,0,-12.4660184,130.8427841
28,12,31.2,12.95,168.5,886.1666667,1008.566667,1.078888317,6.764835549,23.90327732,0.985224171,0,-12.4660184,130.8427841
28,13,31,15.01666667,194,915.6666667,1007.483333,1.736663468,5.493784367,14.69240166,0.837655458,0,-12.4660184,130.8427841
28,14,30.16666667,17.38333333,237,848.3333333,1006.4,2.007652028,4.767983501,34.05094223,0.729383301,0,-12.4660184,130.8427841
28,15,29.36666667,19.43333333,282.3333333,720.6666667,1005.783333,0.979115247,4.730186748,41.37954406,0.730524925,0,-12.4660184,130.8427841
28,16,28.86666667,21.58333333,287.5,548.3333333,1005.35,0.592171146,3.105103326,23.36378965,0.744983221,0,-12.4660184,130.8427841
28,17,28.56666667,18.43333333,110.5,329.6666667,1005.416667,0.50859283,2.368684586,9.13600934,0.99079093,0,-12.4660184,130.8427841
28,18,27.75,13.21666667,156.1666667,106,1005.866667,0.543139025,2.348971406,2.28035085,0.977070451,0,-12.4660184,130.8427841
29,7,24.18333333,10.21666667,108,19.66666667,1009.466667,1.060974395,4.775527894,1.505545305,1.312503968,0,-12.4660184,130.8427841
29,8,25.15,11.71666667,112.5,189.8333333,1010.033333,1.070980859,5.563961419,13.57080199,1.267543556,0,-12.4660184,130.8427841
29,9,26.51666667,9.25,111.8333333,424.6666667,1010.316667,0.661563804,7.055423446,21.58394465,1.075949193,0,-12.4660184,130.8427841
29,10,28.35,10.03333333,133.5,629,1010.216667,0.546808925,8.197723261,37.49666652,1.105290309,0,-12.4660184,130.8427841
29,11,29.61666667,10.66666667,218.6666667,793.1666667,1009.533333,1.137394684,7.454841827,32.77448194,0.993310962,0,-12.4660184,130.8427841
29,12,30.23333333,12.46666667,211.8333333,871,1008.55,1.73397424,5.187163644,63.81849262,0.928977933,0,-12.4660184,130.8427841
29,13,30.15,14.36666667,256.5,893,1007.416667,2.232263425,4.211729653,64.84751345,0.980646046,0,-12.4660184,130.8427841
29,14,29.51666667,16.33333333,295.3333333,844.6666667,1006.433333,2.043934115,7.578566267,59.16643192,0.975021367,0,-12.4660184,130.8427841
29,15,28.85,20.01666667,286,724,1005.816667,0.784219357,5.789098951,51.94997594,1.07966044,0,-12.4660184,130.8427841
29,16,28.75,19.15,288.8333333,543.3333333,1005.316667,0.859651092,5.395461055,35.84782653,0.994819917,0,-12.4660184,130.8427841
29,17,28.75,15.66666667,166,328.6666667,1005.533333,0.712039325,4.320493799,14.86831082,0.880151502,0,-12.4660184,130.8427841
29,18,27.78333333,14.18333333,161,105.6666667,1006.066667,0.65243135,1.930198608,4.412104562,0.893681524,0,-12.4660184,130.8427841
